term,occurences,type,link
spacex,465,org,http://dbpedia.org/resource/SpaceX
space.com,160,org,http://dbpedia.org/resource/Purch_Group
bethesda,178,org,http://dbpedia.org/resource/National_Institutes_of_Health
fitch ratings,102,org,http://dbpedia.org/resource/Fitch_Ratings
система страхование вклад,52,org,link_not_found
банк москва,474,org,link_not_found
андрей бородин,166,pers,http://dbpedia.org/resource/Andrey_Borodin
dow jones,316,org,http://dbpedia.org/resource/Dow_Jones_&_Company
fitch,435,org,http://dbpedia.org/resource/Fitch_Ratings
правительство,183,org,http://dbpedia.org/resource/Government_of_the_United_Kingdom
козлов,121,pers,http://dbpedia.org/resource/Stefan_Kozlov
левин,52,pers,http://dbpedia.org/resource/Benny_Blanco
владимир,158,pers,http://dbpedia.org/resource/Dionysus
управление,435,org,http://dbpedia.org/resource/Federal_Aviation_Administration
deutsche bank,319,org,http://dbpedia.org/resource/Skyliners_Frankfurt
минобрнауки,730,org,http://dbpedia.org/resource/Moscow_Aviation_Institute
комсомольский правда,1157,org,link_not_found
егоров,97,pers,http://dbpedia.org/resource/Igor_Egorov
дмитрий,106,pers,http://dbpedia.org/resource/Dmitri_Shostakovich
морозов,177,pers,http://dbpedia.org/resource/Nikolai_Morozov_(figure_skater)
наталья,67,pers,http://dbpedia.org/resource/Natasha_Zvereva
алексей миллер,762,pers,http://dbpedia.org/resource/Alexey_Miller
опек,917,org,http://dbpedia.org/resource/OPEC
хамовнический суд,293,org,link_not_found
страсбургский суд,107,org,link_not_found
правый дело,253,org,link_not_found
юрий лужков,638,pers,http://dbpedia.org/resource/Yury_Luzhkov
лужков,363,pers,http://dbpedia.org/resource/Yury_Luzhkov
нафтогаз украина,568,org,link_not_found
мвф,1488,org,http://dbpedia.org/resource/International_Monetary_Fund
тимошенко,55,pers,http://dbpedia.org/resource/Yulia_Tymoshenko
юлия тимошенко,161,pers,http://dbpedia.org/resource/Yulia_Tymoshenko
the new york times,382,org,http://dbpedia.org/resource/The_New_York_Times_Company
николя саркози,118,pers,http://dbpedia.org/resource/Nicolas_Sarkozy
саркози,37,pers,http://dbpedia.org/resource/Nicolas_Sarkozy
олег морозов,52,pers,http://dbpedia.org/resource/Oleg_Viktorovich_Morozov
советский районный суд,37,org,link_not_found
associated press,853,org,http://dbpedia.org/resource/Associated_Press
wells fargo,61,org,http://dbpedia.org/resource/Wachovia_Securities
bae systems,180,org,http://dbpedia.org/resource/BAE_Systems_Maritime_–_Naval_Ships
пентагон,687,org,http://dbpedia.org/resource/United_States_Department_of_Defense
lockheed martin,640,org,http://dbpedia.org/resource/Lockheed_Martin
northrop grumman,164,org,http://dbpedia.org/resource/Huntington_Ingalls_Industries
новый регион,93,org,link_not_found
приват,59,org,http://dbpedia.org/resource/FC_Dnipro
boeing,985,org,http://dbpedia.org/resource/Boeing
cnn,261,org,http://dbpedia.org/resource/CNN_International
dreamliner,52,org,http://dbpedia.org/resource/Boeing
saab,97,org,http://dbpedia.org/resource/Saab_AB
rafale,45,org,http://dbpedia.org/resource/Grande_Armée
совет федерация,2990,org,link_not_found
николаев,98,pers,http://dbpedia.org/resource/Aleksei_Nikolaev_(referee)
минэнерго,1193,org,http://dbpedia.org/resource/Ministry_of_Energy_(Russia)
минюст,958,org,http://dbpedia.org/resource/Ministry_of_Justice_(Russia)
санкт-петербург,64,org,http://dbpedia.org/resource/FC_Zenit-2_Saint_Petersburg
министерство энергетика,209,org,link_not_found
life news,1154,org,http://dbpedia.org/resource/Life.ru
москва,681,org,http://dbpedia.org/resource/FC_Spartak_Moscow
кпрф,2740,org,http://dbpedia.org/resource/Patriots_of_Russia
центральный избирательный комиссия,134,org,link_not_found
цик,1166,org,http://dbpedia.org/resource/Soviet_Navy
вгтрк,212,org,http://dbpedia.org/resource/Russia-1
государственный дума,1079,org,link_not_found
весть,161,org,http://dbpedia.org/resource/An-Naba
jp morgan,130,org,http://dbpedia.org/resource/JPMorgan_Chase
the wall street journal,1101,org,http://dbpedia.org/resource/Wall_Street_Journal_Radio_Network
citi,82,org,http://dbpedia.org/resource/Citigroup
законодательный собрание,416,org,link_not_found
европейский суд по право человек,373,org,link_not_found
российский академия наука,303,org,link_not_found
дума,683,org,http://dbpedia.org/resource/State_Duma
главный управление,436,org,link_not_found
кп,109,org,http://dbpedia.org/resource/Communist_Party_USA
final fantasy,62,org,http://dbpedia.org/resource/One_True_King
square enix,183,org,http://dbpedia.org/resource/Square_Enix_Europe
kotaku,222,org,http://dbpedia.org/resource/Video_game_journalism
вдв,227,org,http://dbpedia.org/resource/Ryazan-VDV
совет депутат,51,org,link_not_found
светлана,57,pers,http://dbpedia.org/resource/Svetlana_Kuznetsova
екатерина,46,pers,http://dbpedia.org/resource/Catherine_the_Great
спс,44,org,http://dbpedia.org/resource/Socialist_Party_of_Serbia
гайдар,50,org,http://dbpedia.org/resource/Carnegie_Endowment_for_International_Peace
мгу,832,org,http://dbpedia.org/resource/Moscow_State_University
волков,293,pers,http://dbpedia.org/resource/Nikolai_Volkoff
егор гайдар,39,pers,http://dbpedia.org/resource/Yegor_Gaidar
цду тэк,46,org,link_not_found
новатэка,126,org,link_not_found
фссп,212,org,link_not_found
федеральный служба судебный пристав (фссп),130,org,link_not_found
куликов,53,pers,http://dbpedia.org/resource/Ilya_Repin
федеральный служба охрана,113,org,link_not_found
нато,860,org,http://dbpedia.org/resource/NATO
дмитрий рогозин,674,pers,http://dbpedia.org/resource/Dmitry_Rogozin
рогозин,441,pers,http://dbpedia.org/resource/Dmitry_Rogozin
сергей лавров,749,pers,http://dbpedia.org/resource/Sergey_Lavrov
бирюков,130,pers,http://dbpedia.org/resource/Mikhail_Biryukov_(tennis)
владимир колокольцев,233,pers,http://dbpedia.org/resource/Vladimir_Kolokoltsev
виктор бирюков,90,pers,link_not_found
кузнецов,262,pers,http://dbpedia.org/resource/Andrey_Kuznetsov_(tennis)
атлантис,44,org,http://dbpedia.org/resource/Atlantis_FC
минэкономики,143,org,http://dbpedia.org/resource/Minister_of_Finance_(Belarus)
андрей клепач,201,pers,http://dbpedia.org/resource/Andrei_Klepach
центризбирком,863,org,http://dbpedia.org/resource/Central_Election_Commission_(Russia)
министерство внутренний дело,182,org,link_not_found
рашид нургалиев,170,pers,http://dbpedia.org/resource/Rashid_Nurgaliyev
ирина,70,pers,http://dbpedia.org/resource/Dionysus
грызлов,93,pers,http://dbpedia.org/resource/Boris_Gryzlov
борис грызлов,249,pers,http://dbpedia.org/resource/Boris_Gryzlov
внешэкономбанк (вэб),77,org,http://dbpedia.org/resource/VEB.RF
федеральный собрание,683,org,link_not_found
автоваз,577,org,http://dbpedia.org/resource/AvtoVAZ
минрегиона,61,pers,link_not_found
собинбанка,55,org,link_not_found
роспатент,106,org,http://dbpedia.org/resource/Sistema
росстата,893,org,http://dbpedia.org/resource/Federal_State_Statistics_Service_(Russia)
банк втб,40,org,http://dbpedia.org/resource/VTB_Bank
кристалл,41,org,http://dbpedia.org/resource/FC_Krystal_Kherson
анисимов,37,pers,http://dbpedia.org/resource/Artem_Anisimov
владимир соловьёв,86,pers,http://dbpedia.org/resource/Vladimir_Solovyov_(philosopher)
ространснадзор,67,org,http://dbpedia.org/resource/Federal_Service_for_Supervision_of_Transport
минтранс,870,org,http://dbpedia.org/resource/Ministry_of_Transport_(Russia)
росавиации,531,org,http://dbpedia.org/resource/Transaero
атлант-союз,49,org,http://dbpedia.org/resource/Atlant-Soyuz_Airlines
александр нерадько,84,pers,link_not_found
игорь левитин,129,pers,http://dbpedia.org/resource/Igor_Levitin
упк,43,org,http://dbpedia.org/resource/Ministry_of_Internal_Affairs_(Russia)
сергей шаталов,59,pers,link_not_found
drdo,62,org,http://dbpedia.org/resource/Defence_Research_and_Development_Organisation
организация оборонный исследование и разработка (drdo),97,org,link_not_found
gartner,82,org,http://dbpedia.org/resource/Gartner
android market,82,org,http://dbpedia.org/resource/Creative_Mobile
